BusinessEntityID	(No column name)	CustomerLogin	PasswordHash	PasswordSalt	rowguid	CustomerEmail	SendMails	CustomerGroupID	CountryCode
1	EM	KenJSánchez	pbFwXWE99vobT6g+vPWFy93NtUU/orrIWafF01hccfM=	bE3XiWw=	329EACBE-C883-4F48-B8B6-17AA4627EFFF	ken0@adventure-works.com	0	2	US
2	EM	TerriLeeDuffy	bawRVNrZQYQ05qF05Gz6VLilnviZmrqBReTTAGAudm0=	EjJaC3U=	A4C82398-7466-4FE6-B9EE-CEC34D116F68	terri0@adventure-works.com	1	3	US
3	EM	1582487563	8BUXrZfDqO1IyHCWOYzYmqN1IhTUn3CJMpdx/UCQ3iY=	wbPZqMw=	AC3F4536-BB2E-41C5-B70D-454BE460C1BD	roberto0@adventure-works.com	1	1	US
4	EM	2028745090	SjLXpiarHSlz+6AG+H+4QpB/IPRzras/+9q/5Wr7tf8=	PwSunQU=	B3FA4C24-2E96-477C-A923-0CB0F6FA5C80	rob0@adventure-works.com	1	3	US
5	EM	GailAErickson	8FYdAiY6gWuBsgjCFdg0UibtsqOcWHf9TyaHIP7+paA=	qYhZRiM=	C4D13BCF-0209-44C7-AC67-6F817FDD7F16	gail0@adventure-works.com	0	3	US
6	EM	JossefHGoldberg	u5kbN5n84NRE1h/a+ktdRrXucjgrmfF6wZC4g82rjHM=	a9GiLUA=	BBE788B9-8D6D-4799-87A7-7B85B6BD67DC	jossef0@adventure-works.com	1	3	US
7	EM	DylanAMiller	zSqerln8T8eq3nYHC4Lx4vMuxZaxkDylVwWnP2ZT6QA=	13mu8BA=	AFD3A20A-787B-4069-92DB-AEE666C02847	dylan0@adventure-works.com	0	3	US
8	EM	DianeLMargheim	s+FUWADIZzXBKpcbxe4OwL2uiJmjLogJNYXXHvc1X/k=	FlCpzTU=	4FE51B60-130E-4209-9E67-28DC4D91446C	diane1@adventure-works.com	1	2	US
9	EM	GigiNMatthew	fCvCTy3RwzA2LNhhhYUbT7erkb9Au5wyM2q7ReHroV0=	FTcZMvQ=	99F4F320-F05D-4FA1-BB0D-81C9425422F3	gigi0@adventure-works.com	0	3	US
10	EM	2133658097	/8biMrxuAtETGeIuloSrMQHBraZtZ+eU2z5OJ1Fhn6M=	K7dMpTY=	82F25F0C-5D75-4246-958A-B6DF67559D09	michael6@adventure-works.com	1	2	US
11	EM	OvidiuVCracium	iaZ6ky76dbOG+0Y069v4bm78UfhfGXSeYtxp4Vgd15o=	wTGciQ8=	3AF51C6F-B835-4483-94B3-8F6FD30EFDA2	ovidiu0@adventure-works.com	0	3	US
12	EM	ThierryBD'Hers	I9HGCr3jbwF3LYBlVsM/cOC2IHfg7ns5t2xejnWZ9Ko=	S0g9tDo=	FC239924-2C45-4BAD-BBE7-26C74CAE7526	thierry0@adventure-works.com	1	1	US
13	EM	JaniceMGalvin	3ZuoojogvvBKmtr+iHeqWoiZNCzp6N1abPoymjp+O+4=	S7XWeXc=	80862E73-CD76-4E2E-AA80-26BD8476F736	janice0@adventure-works.com	0	2	US
